W,T_hot,Tc,Tc_std,Tm,Tm2
0.2,200,199.5382953921485,1.8867077802124317,39.59373753803209,39.490832568872925
0.21,200,199.49522343163346,2.004018692812213,39.60550267338937,39.42012594846002
0.22,200,199.45682906184754,2.103167064513622,39.7145461632559,39.51593775349439
0.23,200,199.41413959707276,2.208404630149141,39.821959071240684,39.6194566191765
0.24,200,199.37753496135144,2.292675597730477,40.024546905344764,39.88437969256141
0.25,200,199.33042483565816,2.4051601480545246,40.12708618620382,39.97534474212339
0.27,200,199.23798892483322,2.6163967954025455,40.3295985831619,40.150920319588444
0.29,200,199.13951467028517,2.831491172654682,40.52665036460806,40.31843380137367
0.26,200,199.28685489755767,2.5072268136004046,40.23001283127179,40.06417437769429
0.3,200,199.08863286491945,2.942546900706109,40.53134118752871,40.21702835197367
0.31,200,199.0308042410001,3.0633546601183412,40.62760599571993,40.294606575960216
0.28,200,199.19356531439288,2.713625504339103,40.42972752671689,40.23565940539557
0.32,200,198.98103018382554,3.16324531569168,40.72258655908863,40.370397807220115
0.34,200,198.87144276584547,3.3744480091641944,40.99941244990258,40.70474704233499
0.33,200,198.92377276854634,3.2735369481448626,40.90627887446968,40.6310047132756
0.35,200,198.80611765494092,3.5006369517289624,41.08966955014597,40.77680227607472
0.36,200,198.7509981434809,3.602868439146124,41.18085073040132,40.84722614024511
0.37,200,198.68164465838677,3.7318973328637366,41.269247350017444,40.9160369033745
0.38,200,198.6155762540185,3.8586327021138014,41.271953758623546,40.78990208637656
0.4,200,198.49102932880942,4.06750390425225,41.61601941566287,41.12525885000514
0.42,200,198.3546059697289,4.29404295623105,41.806814256069394,41.38194476877316
0.41,200,198.41888201252598,4.186897255242096,41.72276679871245,41.32122570730359
0.39,200,198.54495358624033,3.9817051542662076,41.36047238582184,40.85429391825984
0.44,200,198.20478462698927,4.540043096271644,41.970842089325636,41.51671408173046
0.45,200,198.11775190382053,4.680256158922947,42.05089304931619,41.57384607971076
0.46,200,198.04024779956632,4.806326015156136,42.049547423821906,41.42792340218779
0.43,200,198.27245817827026,4.431221153625683,41.8882682081165,41.458229635835636
0.48,200,197.8722637536853,5.0623127295442565,42.20990391024664,41.53336241679407
0.47,200,197.94783033362182,4.949692493640708,42.130161065396315,41.48126556722012
0.5,200,197.70040475939462,5.307821183636811,42.44679996152123,41.840183399279404
0.49,200,197.78051380189328,5.193243805352726,42.36816508272578,41.789411559074615
0.51,200,197.59580574099778,5.4576897685997965,42.52310364282377,41.88974578168317
0.52,200,197.51031007188269,5.574500941126596,42.60056506696241,41.93813413744404
0.53,200,197.39835945134269,5.727843720371816,42.67575360419075,41.985356342332295
0.54,200,197.30655803793462,5.847088093117367,42.75208416107362,42.03144824830407
0.59,200,196.70842970253065,6.576550024575131,43.12085007684274,42.245540422664575
0.58,200,196.84421609971832,6.42355010473397,43.048752658331296,42.20483793133868
0.64,200,196.0072963272899,7.299044090910543,43.54381618849244,42.44781403730509
0.55,200,197.17920570398957,6.019888693431309,42.75257623255235,41.86473723892479
0.57,200,196.9499241686454,6.302630656424782,42.90267522129174,41.94937981287976
0.56,200,197.07510652948716,6.153445471956647,42.82774233366649,41.90759542056791
0.6,200,196.60559117881877,6.672462280990699,43.33535768029101,42.492003970967595
0.61,200,196.45264757616832,6.841845217112315,43.404720393560694,42.55557239860939
0.62,200,196.323565994317,6.9733861775691395,43.475224738503115,42.593640941529756
0.63,200,196.14919303955114,7.163609019453574,43.47430833531396,42.41253577025858
0.65,200,195.8257632340338,7.478001758579477,43.61317020122142,42.482174447899794
0.66,200,195.67778673570177,7.601628130162009,43.7494227432455,42.73649129837748
0.67,200,195.48022735792435,7.786014251839731,43.81609404269304,42.769935335563346
0.68,200,195.30912979258977,7.930396670805293,43.883839682719405,42.80252728522506
0.69,200,195.09450915135844,8.120492893618339,43.94965953233479,42.834249342814786
0.7,200,194.90722239669725,8.269953884208446,44.016514000691195,42.86515404420703
0.71,200,194.66661145493296,8.481827228512888,44.01900772950647,42.670314782474556
0.72,200,194.45618573655602,8.649777782336095,44.0849566252231,42.69882721345922
0.73,200,194.2115036846741,8.839216427191232,44.15080996253687,42.726552412328104
0.74,200,193.9979825232178,8.984510930617244,44.276736408968205,42.98071213035989
0.75,200,193.72856171065766,9.193876851190465,44.34005712817066,43.00766577738944
0.76,200,193.48261147766664,9.374146420052792,44.40432303394735,43.033902167487405
0.77,200,193.20097443287474,9.577346471936696,44.46683399304948,43.05939392185193
0.78,200,192.94358241706527,9.750972921271146,44.53024543656763,43.08420046220126
0.79,200,192.63714797095253,9.97461994489346,44.59194244449765,43.108291670178865
0.8,200,192.37043102853275,10.140193820737867,44.78806866801952,43.179090041164585
0.81,200,192.03990205203797,10.38364650656076,44.69629540485691,43.09356547661766
0.82,200,191.75565824731083,10.557045584640505,44.81263480843763,43.34550517600778
0.83,200,191.41457374591562,10.794800767653566,44.87086058761398,43.3671622648288
0.84,200,191.104938414574,10.990450060695899,44.9299598192954,43.38822264484593
0.85,200,190.74751555619065,11.235567991851367,44.98741976089723,43.4086562669719
0.87,200,190.04915749280084,11.690633790880328,45.10239380315971,43.44778666110007
0.86,200,190.4218826897961,11.438312156722573,45.04570755468886,43.428522130414
0.88,200,189.69328328702667,11.926776715808737,45.10808828386721,43.232792288641875
0.89,200,189.31285346527923,12.17380721410026,45.16552045062261,43.250404997710184
0.9,200,188.95149077944097,12.402274868482136,45.22218647326507,43.267522947321645
0.91,200,188.56694420504562,12.642089179725417,45.32763087400321,43.51938041390555
0.92,200,188.19902541824325,12.865246367035397,45.383509020401874,43.53597939984593
0.93,200,187.78777691578446,13.137241360528783,45.43789459977966,43.55204833232739
0.94,200,187.40795800256333,13.366633703528393,45.4929637170983,43.56765901686513
0.95,200,186.98658408926607,13.644247923682002,45.546575486298046,43.58276169410877
0.96,200,186.58740149519514,13.892697456462308,45.5548670863362,43.35978227820981
0.97,200,186.15733223096532,14.175182014289538,45.609099580552346,43.373524190099474
0.98,200,185.75730408639524,14.415659002363713,45.662552432385894,43.38687430775302
1.0,200,184.93777715392017,14.909395255802213,45.898991070124964,43.85580313679213
0.99,200,185.32858790325218,14.689737762668804,45.75922083030732,43.63870091539956
1.01,200,184.49457268775885,15.200440198665904,45.948932662256844,43.90574645666398
1.02,200,184.07909038164678,15.450457207727782,45.99949254569546,43.91810064569513
1.03,200,183.6314392753858,15.744484446713765,46.04868695605124,43.9300219054926
1.04,200,183.21002642460434,15.998262040534428,46.09847480175907,43.94160433870304
1.05,200,182.75042962253437,16.306956418351,46.10573462960664,43.713139593943474
1.06,200,182.31740020484193,16.57490144767317,46.15473755063546,43.72363957289506
1.09,200,180.99770527622832,17.407424579863395,46.338843318453264,43.99400728134904
1.11,200,180.1128797260865,17.96763721847707,46.43251340532718,44.012643129683994
1.1,200,180.56516286826036,17.66901751521843,46.38629716201047,44.00350898581584
1.12,200,179.66995001111135,18.242208263943372,46.441721293918896,43.77962778399288
1.13,200,179.22825447948054,18.52865735067898,46.52467071062204,44.030052614362184
1.14,200,178.78464800506805,18.80389126122752,46.534281970435565,43.795881419649774
1.08,200,181.44380556384644,17.119854965251772,46.29187762714157,43.984232190837204
1.07,200,181.8805946004601,16.849291875924717,46.24364306609116,43.974074547922804
1.22,200,175.29561357867973,21.028562230191408,46.87368240585858,44.028476495784865
1.15,200,178.33715880818337,19.100380027475932,46.58016338928069,43.80356320111509
1.18,200,177.03375945810228,19.912474149471542,46.74877374108526,44.06868126054235
1.16,200,177.91109456899167,19.3536070067813,46.66043221762456,44.054045882037585
1.19,200,176.5950710766433,20.2044799240834,46.79201167419022,44.075585523797
1.17,200,177.46752894572168,19.648236127813195,46.70441781370682,44.06146034803934
1.25,200,174.03929183586177,21.83521487640127,47.02801335004028,44.28790285279846
1.23,200,174.8761759353093,21.303583332434304,46.91524153159365,44.034340646716636
1.24,200,174.45787508580082,21.55507683475705,46.988232870066156,44.28224905359972
1.26,200,173.6093642898208,22.10447760548832,47.06812177740033,44.293427954058274
1.2,200,176.1805136302212,20.44664415244582,46.90192411860831,44.28615712684598
1.21,200,175.7322071863155,20.755865635582744,46.83210481461228,44.02232022257144
1.27,200,173.20520763435692,22.37074494026076,47.10719192462998,44.29867629505034
1.28,200,172.78590846548155,22.62871337675747,47.146573091959986,44.30381301979485
1.29,200,172.38389018111263,22.89881720799843,47.18494292522026,44.30867996292618
1.31,200,171.56771632103116,23.428371509788505,47.23313145489626,44.07446837629507
1.32,200,171.16679636086425,23.67127884307676,47.29918529194243,44.32239056561056
1.34,200,170.37945639258248,24.1791532214891,47.373359160537355,44.33067170387165
1.3,200,171.9605730923325,23.16404391529829,47.19450150177363,44.07013321447735
1.33,200,170.7835822557353,23.929662090676366,47.33615507913859,44.32656218277735
1.35,200,170.00634864578535,24.431125804794025,47.40963007021354,44.334527100086206
1.38,200,168.84670946316587,25.173511189501404,47.51748004537373,44.34542358341444
1.37,200,169.2368739421837,24.931608242892988,47.45631940001165,44.097487383325955
1.36,200,169.60800502280728,24.67727303913267,47.44612136799111,44.3383364421578
1.41,200,167.7921274016464,25.855250846218713,47.67021121840985,44.59854946641403
1.42,200,167.412658757184,26.090344932711705,47.703762229258174,44.60165699482752
1.39,200,168.49291162505426,25.41221406392095,47.527850312421506,44.10402827331353
1.4,200,168.1262334243794,25.6325144861637,47.63686973962339,44.554701885661274
1.44,200,166.71079825908203,26.544921525976793,47.76932726935531,44.60739585838948
1.43,200,167.08354667498008,26.313891186049137,47.73644604647154,44.60452214939625
1.46,200,166.0188434857334,26.996161171792714,47.81037181952528,44.3691900280575
1.45,200,166.39338022040425,26.76069952030665,47.80136483230541,44.610027581740546
1.47,200,165.71333021834576,27.203883922634482,47.84256061623363,44.37149618589527
1.49,200,165.06964066660026,27.61758083507559,47.92726725961581,44.61975640469524
1.54,200,163.48559233268907,28.633007569881233,48.07760103088893,44.6298802602171
1.48,200,165.35447282035364,27.426353229832294,47.87411115543417,44.373851537761865
1.51,200,164.4365961654114,28.027131878128454,47.98827279755837,44.624035325727874
1.52,200,164.09195143532924,28.240847124805544,48.018516105249056,44.626121469806925
1.5,200,164.71783963370217,27.835748648668638,47.95815787682745,44.62201896310548
1.53,200,163.82303256913934,28.42380137956479,48.04800533440735,44.62795819293057
1.55,200,163.22057923301554,28.81528926877793,48.0870333737574,44.387232802540964
1.59,200,162.10040195588107,29.53490747034649,48.21963584841794,44.63782053765599
1.57,200,162.6548591434722,29.177822048715026,48.16367398237983,44.63482925483063
1.6,200,161.80180214624656,29.715090299475865,48.36871858209121,44.9130188864242
1.56,200,162.88402300565252,29.027452242041182,48.11599442575144,44.38893003396278
1.61,200,161.5769306209118,29.870316753294574,48.23150667944414,44.81716709447386
1.58,200,162.32550324341216,29.385412354097685,48.192000831789606,44.63645725228361
1.62,200,161.25921106786947,30.069453753253402,48.23958030791622,44.5768877087895
1.63,200,161.06199702928538,30.20071151273102,48.28349285399717,44.819721698256224
1.64,200,160.7514864299995,30.395086868316604,48.291633253533114,44.57920467482169
1.68,200,159.80363025801807,30.998546980241766,48.408605813150224,44.8252222765245
1.65,200,160.56681004040666,30.51756091714554,48.33432831368998,44.822037689258465
1.67,200,160.09130516779163,30.82083275338754,48.384014739841554,44.82413106948299
1.66,200,160.27206175851262,30.699862613289532,48.359490270923644,44.82322753352433
1.69,200,159.6353949702132,31.110511981017584,48.432577741237765,44.82601671606228
1.7,200,159.3547256908899,31.283663799127147,48.45659942825007,44.82701672539426
1.72,200,158.91085113420652,31.568573329582737,48.48829400346128,44.58639100774411
1.74,200,158.51501538288596,31.813235941645544,48.549278427488154,44.83005701380683
1.71,200,159.19042170446636,31.393576859425647,48.46482854043527,44.585514733683354
1.77,200,158.00528602065393,32.13351893841039,48.615813364708,44.8317431754283
1.75,200,158.38406583254294,31.89806924455249,48.57162305046157,44.83056030330989
1.73,200,158.7733837341045,31.65595383626547,48.51173328147878,44.58693232261743
1.76,200,158.11805584641397,32.064071366709214,48.59399320070216,44.83132653758115
1.79,200,157.64540205220297,32.35550788360707,48.65894248574812,44.83277767561503
1.81,200,157.3126752380435,32.557754042533695,48.71361185758884,44.83376526346678
1.78,200,157.7518091815155,32.28878902501326,48.637644793033424,44.83244332815624
1.82,200,157.08088295186295,32.69790770777804,48.74718680231835,45.074464753254105
1.8,200,157.40691965497905,32.500018298015604,48.69282375914455,44.79246025907295
1.84,200,156.76456044675072,32.88916049811985,48.78678776609698,45.0752394650449
1.83,200,156.99872012396807,32.74667346064045,48.76697277969004,45.07468734661224
1.86,200,156.4664674610437,33.06721076155881,48.82541844407031,45.07589322925738
1.85,200,156.69438686114384,32.92890827261752,48.80609494970478,45.07538995193053
1.87,200,156.39952951472125,33.10417731596929,48.832420122215545,44.83566918675095
1.89,200,156.13128592756837,33.260023798256555,48.870079370027696,44.83607746677661
1.88,200,156.18048381523678,33.23814916841435,48.86309384117805,45.07643291402871
1.9,200,155.91823444872603,33.39000137658352,48.899829083075254,45.076864841800656
1.91,200,155.8894004631399,33.3968922471371,48.91773389256855,45.07681514358555
1.93,200,155.65638179019967,33.526960964628636,48.95309464167279,45.07708235450144
1.92,200,155.6795236997022,33.523025559344,48.93563937315494,45.07719464485797
1.95,200,155.44066456382018,33.64423611915234,48.98754860934259,45.07725396844502
1.94,200,155.45228942135876,33.64917208693675,48.97054000615383,45.077427267495075
1.97,200,155.2334378815576,33.75447815301995,49.01138807306913,44.83672387566415
2.0,200,154.89023442521054,33.94050470082823,49.088811546911415,45.27768078418067
1.99,200,155.06027728592449,33.840841062537194,49.053816082824646,45.07732649634369
1.96,200,155.23365563188423,33.76830445264422,48.9944227154596,44.8369998158371
2.02,200,154.72442071010232,34.02232615718473,49.04277882026216,45.25262582627178
1.98,200,155.04058921590857,33.869004671698214,49.0279415201265,44.836994554419746
2.03,200,154.75835742936678,33.98197363100833,49.057644048763144,45.2522609586377
2.01,200,154.9070398886619,33.9145919415114,49.02751216861349,45.25238398657425
2.04,200,154.58094629162122,34.086137172493835,49.07250835616705,45.2524800628683
2.1,200,154.24641785691736,34.20515513654694,49.15701895965829,45.251584938424536
2.06,200,154.43927243080788,34.14832253719937,49.09271086128121,45.01501431833942
2.08,200,154.33657693230126,34.182558619132855,49.129613777146,45.251957977320366
2.05,200,154.62590915481718,34.03713113377067,49.086983117271956,45.252058518323395
2.12,200,154.15741868159793,34.226182703327396,49.17593463564271,45.01372693424261
2.09,200,154.40887780828268,34.11126413050226,49.143324927143695,45.25142271385338
2.07,200,154.50948514119227,34.08018661969218,49.115535844216026,45.25177859971006
2.14,200,154.09249253366812,34.230383923547,49.202171717619,45.01315039508566
2.11,200,154.32388228378562,34.13048932345574,49.170357102010655,45.250991973183226
2.13,200,154.25429672238855,34.13798923621442,49.196654673981385,45.25048709840955
2.15,200,154.19992258346446,34.133892070933456,49.222224594212015,45.24990844111283
2.17,200,154.1605648708952,34.1183269957363,49.2470887375616,45.249255986245906
2.16,200,154.05143551408017,34.21817010899989,49.23481932893878,45.25002777177347
2.18,200,154.01652611755244,34.19954628502517,49.25932935350456,45.24936355259999
2.22,200,153.99369499723454,34.12895564516112,49.31235012019805,45.24782501233323
2.24,200,154.0171807891075,34.067352885075536,49.34100433240296,45.481614229524865
2.19,200,154.13603233837205,34.0914239620131,49.271254223303146,45.248529373288434
2.21,200,154.13492309337067,34.04864565766998,49.30104960454436,45.24773860071335
2.2,200,154.0083564118497,34.16504475981987,49.29642126003125,45.44705213242975
2.25,200,154.16735553515338,33.93484040133882,49.351684248875785,45.48064476079995
2.23,200,154.1394852240293,33.999545454511384,49.32361057152306,45.24685990981031
2.26,200,154.0342251318957,34.009548226777376,49.362349252563405,45.4807184653321
2.31,200,154.298772362369,33.69499302365073,49.4075665688518,45.242555371225656
2.32,200,154.192157738776,33.75245023193285,49.42275753329742,45.4775679202592
2.28,200,154.07698460003854,33.931134828846936,49.38308093534678,45.47974700887298
2.27,200,154.20029973406315,33.864063840740144,49.37272187067206,45.47968063428012
